이름,설명,네이버지도url,대략적인 위치,오픈 시간,주차
선운각,,https://naver.me/xVBx4vXA,강북구 북한산,,
퍼스트커피랩 강남점,,https://naver.me/xLWAP4oJ,강남구 신논현역,,
알베르,,https://naver.me/FhULESne,강남구 신논현역,,
테라로사 포스코센터점,,https://naver.me/Fw7iZtmm,강남구 역삼역,,가능
디저트39 프리미엄 디어스 율동공원점,,https://naver.me/GALRYy31,분당구 율동공원,,
K헤밍웨이 베이커리카페&다이닝 분당점,양식도 판매,https://naver.me/GJTiYnYJ,,,
비루개,수목원 컨셉 - 야생 숲; 초대형 카페; 구워먹는 것도 가능,https://naver.me/53lKTsXK,의정부 (남양주),,
후탄,수목원 컨셉 - 현대적인 식물원 느낌 + 대형 온실,https://naver.me/xOxHMEqI,남양주,,
아유 스페이스,,https://naver.me/FO9oxrys,북한강,,
라온숨,층 5개 - 테마 다 다름; 빵도 맛있음,https://naver.me/Fmf6KN0B,북한강,,주변 카페 중 주차 자리 가장 많음
